Timestamp,year,TOT_PREP(mm),Total rrad,Tatal PFD,Total Global Rad,Global Ref,Std Global Rad,Std Ref Rad,Max Wind_S,Time,AirTC_Max,Time,RH_Max,Time,min Wind_s,Time,AirTC_Min,Time,RH_Min,Tmin RH,MWind Seep,MWind deg.,Std m deg,Std Wind_S,0-45,45-90,90-135,135-180,180-225,225-270,270-315,315-360,Volt,Comentarios
1/1/2015,2015,0.2,3186,16561,619.2,68.43,208.4,23.24,5.395,1019,27.3,1411,89.1,612,0,2,21.53,610,62.44,1411,1.277,85.3,73.3,0.733,0.2,0.294,0.302,0.16,0.072,0.056,0.102,0.091,12.38,
2/1/2015,2015,0.3,2227.6,11892,435.6,48.3,132.4,15.84,6.513,2359,25.59,1547,88.1,708,0,2,19.84,2349,68.81,1506,1.099,183.5,76.7,0.68,0.107,0.143,0.184,0.163,0.177,0.15,0.116,0.06,12.39,
3/1/2015,2015,1.3,2503.7,13153,486.4,49.89,177.1,19.73,6.353,922,24.95,1252,87.7,1416,0,202,20.15,0,67.37,1217,1.394,162.2,81.5,0.751,0.129,0.168,0.262,0.291,0.211,0.147,0.116,0.069,12.39,
4/1/2015,2015,0.2,2493.2,12959,485.5,54.09,169.4,19.76,6.833,512,25.31,1315,85.9,525,0,3,20.4,531,58.75,1317,1.437,149.9,82.9,0.836,0.147,0.187,0.294,0.28,0.17,0.143,0.131,0.085,12.4,
5/1/2015,2015,3.8,2408.1,12830,470.2,50,145.8,16.4,6.034,1247,24.13,1429,90.2,1253,0,7,20.99,1257,69.63,1013,0.99,130.1,69.6,0.857,0.085,0.157,0.278,0.208,0.088,0.066,0.065,0.042,12.39,
6/1/2015,2015,2.1,3343.7,17464,645.8,65.85,205.7,22.31,6.353,36,26.53,1429,90.3,140,0,2,20.12,104,58.91,1430,1.378,142.2,71.9,0.851,0.124,0.173,0.368,0.296,0.143,0.102,0.105,0.068,12.38,
7/1/2015,2015,0.9,4338.3,22446,839,85.5,274.1,29.27,6.034,1204,26.83,1322,88.8,2211,0,0,20.21,351,53.34,1419,1.351,132.5,61.84,0.863,0.16,0.239,0.332,0.27,0.152,0.067,0.062,0.069,12.38,
8/1/2015,2015,0.7,3889.5,20338,759,77,247.5,26.67,4.915,2347,27.51,1545,86.7,1932,0,49,20.32,1928,54.43,1546,1.294,149.2,59.27,0.753,0.142,0.15,0.236,0.4,0.186,0.062,0.057,0.061,12.38,
9/1/2015,2015,3.8,2414.4,12877,467.1,45.3,152.2,16.25,6.833,1219,24.71,1609,91.9,1240,0,33,20.61,328,69.81,916,1.115,142.8,70.4,0.696,0.094,0.108,0.226,0.383,0.122,0.053,0.069,0.058,12.39,
10/1/2015,2015,10.8,2962.2,15542,581.9,64.01,196.6,21.96,5.075,1310,26.3,1412,95.9,2029,0,10,20.77,143,67.47,1412,0.93,216.7,71.3,0.69,0.182,0.152,0.104,0.084,0.129,0.117,0.098,0.066,12.39,
11/1/2015,2015,6.1,3027.5,15814,590.3,59.74,210.7,22.45,5.554,2318,25.59,1321,92,639,0,1,20.82,2318,65.26,1252,1.364,122.7,84.2,0.737,0.164,0.217,0.302,0.219,0.123,0.125,0.139,0.076,12.38,
12/1/2015,2015,2.2,2154.6,11583,428.9,46.17,133.8,15.35,7.15,1110,24.15,1314,92.1,650,0,2,20.7,2211,74.7,1116,1.491,93.2,84.3,0.935,0.221,0.36,0.315,0.152,0.109,0.119,0.142,0.072,12.39,
13/01/2015,2015,3,3045.1,16035,593.3,61.02,205.2,21.58,6.833,1128,25.47,1440,93.5,2315,0,1,20.43,455,64.85,1222,1.342,141.7,75.2,0.865,0.236,0.294,0.187,0.11,0.14,0.16,0.125,0.09,12.38,
