Timestamp,year,TOT_PREP(mm),Total Inrrad,Tatal PFD,Total Global Rad,Global Ref,Std Global Rad,Std Ref Rad,Max Wind_S,Time,AirTC_Max,Time,RH_Max,Time,min Wind_s,Time,AirTC_Min,Time,RH_Min,Tmin RH,MWind Seep,MWind deg.,Std m deg,Std Wind_S,0-45,45-90,90-135,135-180,180-225,225-270,270-315,315-360,Volt,Comentarios,
1/1/2016,2016,0.2,2746.5,6196.7,591.5,46.16,195.2,13.68,5.714,140,25.54,1330,92.8,26,0,0,20.17,22,65.04,1456,1.194,114.9,65.32,0.78,0.13,0.223,0.341,0.175,0.092,0.071,0.087,0.076,12.33,,
1/2/2016,2016,1.3,3101.9,7141.2,674.8,56.15,227.6,15.58,5.554,1325,26.1,1507,90.2,1140,0,0,20.96,406,62.84,1649,0.763,251.4,55.21,0.626,0.084,0.059,0.04,0.05,0.142,0.158,0.156,0.073,12.33,,
1/3/2016,2016,2.5,2570.1,5889.3,555.8,46.13,185.7,12.96,4.915,1425,25.34,1357,92.2,2230,0,0,19.37,2234,67.59,1358,0.873,278.9,57.39,0.73,0.149,0.109,0.061,0.041,0.101,0.131,0.182,0.101,12.31,,
1/4/2016,2016,3.1,2656.8,6113.8,584.2,49.85,197.5,13.82,5.554,1431,25.87,1322,91.5,406,0,0,19.61,530,64.76,1323,0.888,265.4,57.81,0.721,0.07,0.041,0.044,0.061,0.152,0.164,0.255,0.1,12.33,,
1/5/2016,2016,1,2614.9,6145.4,564.7,46.21,186,11.66,6.194,1819,26.1,1154,89,151,0,0,20.28,1434,55.15,1512,0.924,218.5,53.21,0.833,0.052,0.035,0.046,0.223,0.308,0.108,0.099,0.054,12.32,,
1/6/2016,2016,5.2,2275.8,5456.2,489.6,40.65,170.6,11.28,5.075,1515,25.89,1253,92.2,2013,0,2,20.73,115,69.62,1246,0.814,296.2,50.75,0.648,0.095,0.027,0.016,0.023,0.06,0.118,0.338,0.136,12.32,,
1/7/2016,2016,0.6,2786.8,6292.6,612.9,51.32,210.9,14.48,6.353,1253,27.19,1402,92,413,0,3,21.26,320,61.82,1403,0.987,286.7,58.68,0.697,0.09,0.036,0.031,0.042,0.091,0.186,0.395,0.116,12.32,,
1/8/2016,2016,0,4877.4,11229,1076,73.9,323.8,20.65,5.235,1318,28.46,1329,88.6,614,0,2,21.28,531,56.48,1247,1.072,217,58.82,0.8,0.086,0.043,0.054,0.204,0.368,0.119,0.124,0.073,12.32,,
1/9/2016,2016,0,2671.2,6338.9,591.8,46.15,198.5,12.67,3.956,24,25.54,1257,84.4,418,0,8,21.32,441,68.52,1030,0.696,71.8,40.41,0.627,0.167,0.083,0.126,0.107,0.027,0.017,0.042,0.126,12.33,,
1/10/2016,2016,0,3269.4,7774.5,737,52.02,241.6,14.82,4.276,1444,26.89,1150,86.2,524,0,0,21.82,532,63.95,1150,0.805,120.4,40.67,0.611,0.139,0.071,0.11,0.29,0.025,0.009,0.05,0.11,12.33,,
1/11/2016,2016,0.1,2316.9,5069.6,489.9,41.32,169.3,12.02,4.915,1146,25.3,1146,89.5,717,0,3,21.56,1903,69.46,1520,0.791,141.9,44.39,0.676,0.118,0.036,0.104,0.246,0.043,0.029,0.083,0.13,12.33,,
1/12/2016,2016,0,3515.5,7892.8,758,58.05,258.7,17.2,4.116,1315,27.14,1402,83.5,2255,0,0,20.93,613,60.39,1406,0.833,151.3,49.41,0.619,0.113,0.087,0.072,0.254,0.071,0.055,0.078,0.104,12.33,,
1/13/2016,2016,0,4578.4,10294,1012,72.6,301.8,19.6,4.915,1501,26.8,1626,83.5,27,0,2,20.7,623,47.39,1350,1.268,88.6,29.97,0.686,0.186,0.503,0.12,0.177,0.115,0.049,0.041,0.077,12.33,,
1/14/2016,2016,0.7,2665.7,7200.7,709,53.65,227.9,15.44,3.956,1204,26.99,1703,84.5,2218,0,504,20.19,2212,55.12,1319,1.196,72.2,12.32,0.667,0.12,0.6,0.462,0,0,0,0,0.013,12.33,,
