Timestamp,year,TOT_PREP(mm),Total Inrrad,Tatal PFD,Total Global Rad,Global Ref,Std Global Rad,Std Ref Rad,Max Wind_S,Time,AirTC_Max,Time,RH_Max,Time,min Wind_s,Time,AirTC_Min,Time,RH_Min,Tmin RH,MWind Seep,MWind deg.,Std m deg,Std Wind_S,0-45,45-90,90-135,135-180,180-225,225-270,270-315,315-360,Volt,Comentarios
1/1/2017,2017,0.8,2105.9,4590.5,688.2,49.4,238.1,14.04,5.235,2243,26.18,1252,88.9,753,0,1,20.78,738,60.46,1700,1.188,91.1,69.11,0.849,0.164,0.213,0.331,0.151,0.073,0.055,0.078,0.123,12.3,
1/2/2017,2017,10.1,1541.8,3388.5,482.5,39.89,176.2,10.51,6.833,1954,24.76,1135,94.6,1819,0,2,20.2,1826,66.07,1004,1.278,123.3,71.3,0.904,0.11,0.24,0.374,0.207,0.112,0.085,0.074,0.076,12.32,
1/3/2017,2017,1.9,2553.5,5580.7,833,57.95,278.1,15.05,5.554,49,25.94,1346,93.1,0,0,22,20.77,1802,60.18,1314,1.442,122.7,55.45,0.8,0.104,0.143,0.495,0.406,0.073,0.031,0.073,0.116,12.31,
1/4/2017,2017,0.2,2524.2,5513.1,823,56.54,268.4,14.7,4.915,1337,26.21,1609,91.8,400,0,19,19.38,715,54.42,1611,0.712,258.1,49.81,0.724,0.072,0.051,0.094,0.116,0.064,0.067,0.127,0.122,12.31,
1/5/2017,2017,0,2201.2,4933.8,695.7,54.14,260.5,13.8,4.436,1603,27.56,1409,90.7,631,0,0,20.51,715,53.63,1345,0.558,255,47.21,0.623,0.045,0.027,0.027,0.058,0.082,0.091,0.142,0.086,12.32,
1/6/2017,2017,1.1,2005.9,4407.2,636.9,49.98,233,13.38,5.395,2124,26.37,1455,93.4,339,0,1,20.8,515,62.2,1455,0.848,272.1,63.72,0.743,0.105,0.113,0.134,0.062,0.086,0.12,0.126,0.101,12.31,
1/7/2017,2017,1.4,1841.2,4094.7,571.6,47.7,213.6,12.32,6.673,1158,26.19,1154,92.9,731,0,2,21,217,65.41,1155,0.884,204.8,59.68,0.871,0.118,0.151,0.136,0.084,0.093,0.096,0.109,0.098,12.32,
1/8/2017,2017,0.1,2842.8,6247.3,938,66.44,295.3,16.5,3.956,1504,27.87,1636,90.3,352,0,14,21.06,352,54.8,1316,0.666,53.04,47.27,0.678,0.121,0.101,0.095,0.081,0.058,0.036,0.06,0.115,12.31,
1/9/2017,2017,0.8,1720.6,3860.3,549.7,48.1,189,11.48,3.637,1116,26.63,1514,91.8,2027,0,0,20.8,2113,58.93,1514,0.595,81,47.49,0.587,0.083,0.072,0.107,0.106,0.029,0.016,0.066,0.116,12.31,
1/10/2017,2017,5,1850.1,4144.3,604.6,49.27,225.4,12.93,8.11,2056,26.1,1351,98.6,2034,0,1,19.66,2209,60.51,1352,1.129,314.9,49.37,0.988,0.114,0.045,0.112,0.205,0.061,0.036,0.191,0.366,12.31,
1/11/2017,2017,9.6,1267.1,2761.7,372.6,39.82,123.5,8.27,6.993,1328,22.5,1205,97.3,0,0,0,19.33,2021,66.05,2254,1.495,317.7,64.63,1.026,0.178,0.074,0.181,0.214,0.123,0.081,0.211,0.434,12.3,
1/12/2017,2017,0.5,2274.3,4851.8,715,54.47,236.4,14.54,10.67,450,23.06,1213,88.9,1658,0,2,18.62,1658,45.83,1214,2.294,333.8,41.91,1.254,0.353,0.045,0.017,0.013,0.019,0.059,0.441,1.349,12.31,
1/13/2017,2017,1.7,1898.9,4143.8,591.2,47.45,216.5,13.06,10.51,1226,24.2,1157,92,139,0,103,18.83,59,58.57,1101,2.138,329.1,52.41,1.362,0.341,0.055,0.026,0.027,0.055,0.094,0.405,1.136,12.31,
1/14/2017,2017,3.1,1581.1,3429.6,487.2,44.08,181.5,11.25,6.673,2142,24.12,1500,90.5,103,0,0,19.43,508,67.35,1135,1.139,195.2,75.4,0.741,0.092,0.09,0.108,0.196,0.28,0.14,0.113,0.12,12.32,
1/15/2017,2017,0.4,1824.4,3889.2,557.1,45.59,202.2,12.29,5.075,115,24.88,1428,82.9,39,0,2,20.33,2,56.36,1428,1.035,161.3,67.72,0.715,0.078,0.089,0.216,0.253,0.178,0.086,0.069,0.067,12.31,
