QUAD,PLOT,TAG,SPECIES,HEIGHT,LEAVES,DAMAGE,COMMENTS,YEAR,MONTH,TYPE,STATUS,DIAM (mm),DIAM at 130(mm)
AB,1,1,HIPVOL,11,5,5,,2015,JUNE,Seedling,A,,
AB,1,2,GUAGUI,14.3,4,55,,2015,JUNE,Seedling,A,,
AB,1,3,INGVER,7.2,4,35,,2015,JUNE,Seedling,A,,
AB,1,4,PSYBRA,6.9,4,5,,2015,JUNE,Seedling,A,,
AB,1,5,ROUSUR,10.1,4,5,,2015,JUNE,Seedling,A,,
AB,1,6,GUAGUI,12,3,20,,2015,JUNE,Seedling,A,,
AB,1,7,GUAGUI,13.8,2,20,Horizontal,2015,JUNE,Seedling,A,,
AB,1,8,GUAGUI,10.5,4,10,,2015,JUNE,Seedling,A,,
AB,1,9,GUAGUI,13.5,2,25,,2015,JUNE,Seedling,A,,
AB,1,10,HIPVOL,14.5,5,5,,2015,JUNE,Seedling,A,,
AB,1,11,GUAGUI,12.8,2,0,,2015,JUNE,Seedling,A,,
AB,1,12,TABHET,5.5,3,5,confirm,2015,JUNE,Seedling,A,,
AB,1,13,HIPVOL,18.5,5,5,**ID'd by John Bithorn,2015,JUNE,Seedling,A,,
AB,1,14,ROUSUR,11.7,4,10,,2015,JUNE,Seedling,A,,
AB,1,15,HIPVOL,13,5,5,,2015,JUNE,Seedling,A,,
AB,1,16,PREMON,19.4,2,5,,2015,JUNE,Seedling,A,,
AB,1,17,OCOLEU,17.1,4,30,,2015,JUNE,Seedling,A,,
AB,1,18,HIPVOL,9,5,5,,2015,JUNE,Seedling,A,,
AB,1,19,GUAGUI,11.2,2,1,,2015,JUNE,Seedling,A,,
AB,1,20,ROUSUR,7,5,5,,2015,JUNE,Seedling,A,,
AB,1,21,ROUSUR,9.2,5,5,,2015,JUNE,Seedling,A,,
AB,1,22,GUAGUI,13.2,3,40,,2015,JUNE,Seedling,A,,
AB,1,23,INGVER,11.5,5,5,,2015,JUNE,Seedling,A,,
AB,1,24,OCOLEU,12,3,25,,2015,JUNE,Seedling,A,,
AB,1,25,PSYBRA,30,5,10,Horizontal,2015,JUNE,Seedling,A,,
AB,1,26,PREMON,18,3,10,,2015,JUNE,Seedling,A,,
AB,1,27,GUAGUI,11.3,4,15,,2015,JUNE,Seedling,A,,
AB,1,28,OCOLEU,9.3,3,20,Leaning,2015,JUNE,Seedling,A,,
AB,1,29,PSYBRA,7.9,5,0,,2015,JUNE,Seedling,A,,
AB,1,30,ROUSUR,14.5,4,5,,2015,JUNE,Seedling,A,,
AB,1,31,GUAGUI,9,5,25,,2015,JUNE,Seedling,A,,
AB,1,32,MICTET,40.5,5,10,,2015,JUNE,Seedling,A,,
AB,1,33,ROUSUR,11,4,5,,2015,JUNE,Seedling,A,,
AB,1,34,TRIPAL,7,5,5,,2015,JUNE,Seedling,A,,
AB,1,35,INGVER,10.5,3,20,,2015,JUNE,Seedling,A,,
AB,1,36,GONSPI,20.4,5,25,,2015,JUNE,Seedling,A,,
AB,1,37,HIPVOL,12.8,5,1,,2015,JUNE,Seedling,A,,
AB,1,38,OCOLEU,13.7,3,10,ID'd by John Bithorn,2015,JUNE,Seedling,A,,
AB,1,39,ORMKRU,32.8,5,10,,2015,JUNE,Seedling,A,,
AB,1,40,TECGRA,8.7,5,20,,2015,JUNE,Seedling,A,,
