QUAD,PLOT,TAG,SPECIES,HEIGHT (cm),LEAVES,DAMAGE,COMMENTS,YEAR,MONTH,TYPE,STATUS,DIAM (mm),DIAM at 130(mm),Year first,SUBSTRATE
AB,1,1,HIPVOL,15.1,15,3,,2016,June,Seedling,A,2.9,,2015,L
AB,1,2,GUAGUI,15.2,4,3,,2016,June,Seedling,A,3.2,,2015,L
AB,1,3,INGVER,14.6,4,3,,2016,June,Seedling,A,3.2,,2015,L
AB,1,4,PSYBRA,19.7,12,1,,2016,June,Seedling,A,2.9,,2015,BS
AB,1,5,ROUSUR,14.1,8,1,,2016,June,Seedling,A,2.7,,2015,L
AB,1,6,GUAGUI,13.5,6,10,,2016,June,Seedling,A,3.6,,2015,L
AB,1,8,GUAGUI,12.6,3,5,,2016,June,Seedling,A,3,,2015,L
AB,1,9,GUAGUI,13.5,3,15,,2016,June,Seedling,A,3.1,,2015,L
AB,1,10,HIPVOL,25.3,15,10,,2016,June,Seedling,A,5.1,,2015,L
AB,1,11,GUAGUI,13.8,2,3,,2016,June,Seedling,A,1.9,,2015,L
AB,1,12,TABHET,8.1,4,0,,2016,June,Seedling,A,1.9,,2015,L
AB,1,13,HIPVOL,21.5,32,1,,2016,June,Seedling,A,8.1,,2015,L
AB,1,15,HIPVOL,19.5,17,3,,2016,June,Seedling,A,2.9,,2015,L
AB,1,16,PREMON,38.9,3,1,,2016,June,Seedling,A,6.9,,2015,L
AB,1,17,OCOLEU,17.1,5,20,,2016,June,Seedling,A,3.1,,2015,L
AB,1,18,HIPVOL,12.1,16,0,,2016,June,Seedling,A,2.9,,2015,L
AB,1,19,GUAGUI,13.8,1,5,,2016,June,Seedling,A,1.9,,2015,L
AB,1,20,ROUSUR,22,11,3,,2016,June,Seedling,A,4.5,,2015,L
AB,1,21,ROUSUR,16.8,8,2,,2016,June,Seedling,A,2.6,,2015,L
AB,1,22,GUAGUI,20.1,5,3,,2016,June,Seedling,A,2.2,,2015,L
AB,1,23,UNKNOWN,12.8,13,1,11/15 ID incorrect. Verify. Strong collecting veins.,2016,June,Seedling,A,2.2,,2015,L
AB,1,24,OCOLEU,11,4,4,,2016,June,Seedling,A,1.9,,2015,L
AB,1,25,PSYBRA,61.3,19,4,***Branch fell on original stem. Measured new leader sprout.,2016,June,Seedling,A,8.3,,2015,L
AB,1,26,PREMON,35.4,3,0,,2016,June,Seedling,A,4.7,,2015,L
AB,1,27,GUAGUI,17.5,2,0,,2016,June,Seedling,A,3.1,,2015,L
AB,1,28,OCOLEU,17,4,5,,2016,June,Seedling,A,3.8,,2015,BS
AB,1,29,PSYBRA,23,10,0,,2016,June,Seedling,A,4.4,,2015,L
AB,1,30,ROUSUR,18.7,7,0,,2016,June,Seedling,A,3,,2015,L
AB,1,31,GUAGUI,13.4,5,0,,2016,June,Seedling,A,2.3,,2015,L
AB,1,32,MICTET,41.9,25,15,,2016,June,Seedling,A,5.1,,2015,BS
AB,1,33,ROUSUR,60.1,6,0,,2016,June,Seedling,A,1.9,,2015,L
AB,1,34,TRIPAL,11.7,6,0,,2016,June,Seedling,A,2,,2015,L
AB,1,35,INGVER,11.1,5,2,,2016,June,Seedling,A,3.3,,2015,L
AB,1,36,GONSPI,30.6,11,5,,2016,June,Seedling,A,3.5,,2015,BS
AB,1,37,HIPVOL,25.4,11,1,,2016,June,Seedling,A,3.6,,2015,L
AB,1,39,ORMKRU,46.5,9,1,,2016,June,Seedling,A,6.8,,2015,L
AB,1,40,TECGRA,14.2,6,1,,2016,June,Seedling,A,4,,2015,L
AB,1,41,PSYBRA,33.5,13,2,,2016,June,Seedling,A,3.9,,2015,L
AB,1,43,ROUSUR,20.4,9,0,,2016,June,Seedling,A,2.8,,2015,LW
AB,1,44,PSYBRA,61,21,5,,2016,June,Seedling,A,6.3,,2015,L
AB,1,45,PSYBRA,60,26,25,2 sprouts. ,2016,June,Seedling,A,8.2,,2015,L
AB,1,46,HIPVOL,16.2,20,5,,2016,June,Seedling,A,6.2,,2015,L
AB,1,47,OCOLEU,,,,,2016,June,Seedling,NF,,,2015,
AB,1,48,GUAGUI,,,,,2016,June,Seedling,NF,,,2015,
AB,1,49,OCOLEU,,,,,2016,June,Seedling,NF,,,2015,
AB,1,230,ROUSUR,15.4,4,5,,2016,June,Seedling,A,2.2,,2016,L
AB,1,232,GUAGUI,13,6,5,,2016,June,Seedling,A,2.5,,2016,L
