TOA5,60144,CR1000,60144,CR1000.Std.26,,,CPU:Ev-pan2013.CR1,35275,T2Diario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV
TS,RN,mm,inches,Deg C,%,Deg C Agua,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp
12/5/2013 0:00,0,1.2,8,22.49,100,24.95,21.26,26.06,12/5/2013 14:36,100,12/5/2013 17:50,25.91,12/5/2013 15:07,1.718,12/5/2013 14:56,21.09,12/5/2013 23:27,84,12/5/2013 14:37,23.79,12/5/2013 23:59,0,12/5/2013 14:36,9.29,31.40852,60.18,1017.664,764.2,1.119,0.636,27.26,168.4,0.376,166.1,33.38,0.291,0.002,0.003,0.033,0.226,0.074,0.025,0.007,0.006,12.43
12/6/2013 0:00,1,5.5,8.16,22.39,100,24.3,21.1,27.71,12/6/2013 10:51,100,12/6/2013 0:00,26.48,12/6/2013 14:23,2.597,12/6/2013 15:38,20.34,12/6/2013 3:10,78.99,12/6/2013 14:38,22.55,12/6/2013 14:23,0,12/6/2013 0:00,27.96,241.6009,167.9,7254.736,764.5,1.943,NAN,60.11,347.8,0.388,166.2,49.1,0.328,0.011,0.012,0.046,0.155,0.089,0.036,0.015,0.023,12.4
12/7/2013 0:00,2,9.1,8.4,22.25,100,24.3,21.42,26.12,12/7/2013 13:22,100,12/7/2013 0:00,26.57,12/7/2013 15:05,3.955,12/7/2013 9:42,20.11,12/7/2013 4:33,80.3,12/7/2013 13:20,22.51,12/7/2013 7:34,0,12/7/2013 0:02,31.98,276.3202,192.4,8312.152,764.6,1.497,1.28,60.35,356.7,0.555,176.2,54.82,0.458,0.02,0.027,0.049,0.185,0.158,0.067,0.025,0.025,12.39
12/8/2013 0:00,3,8.1,8.54,22.21,98,23.36,22.95,25.6,12/8/2013 11:10,100,12/8/2013 0:00,24.25,12/8/2013 14:57,3.635,12/8/2013 17:41,20.42,12/8/2013 2:35,76.23,12/8/2013 11:20,22.44,12/8/2013 7:52,0,12/8/2013 0:06,13.31,115.0016,82.5,3562.759,765.2,1.056,0.525,27.64,169.5,0.371,167.3,46.18,0.431,0.012,0.025,0.046,0.125,0.094,0.042,0.016,0.012,12.39
12/9/2013 0:00,4,8.4,8.64,24.01,100,24.92,22.39,28.2,12/9/2013 14:05,100,12/9/2013 2:16,28.44,12/9/2013 17:43,3.076,12/9/2013 11:59,21.68,12/9/2013 5:48,69.16,12/9/2013 14:05,22.8,12/9/2013 7:21,0,12/9/2013 0:00,35.03,302.6579,212.4,9176.238,765.2,1.649,1.688,63.54,378.2,0.346,166.9,49.09,0.476,0.022,0.024,0.037,0.105,0.063,0.041,0.024,0.03,12.4
12/10/2013 0:00,5,5.8,8.95,23.86,100,26.33,23.07,28.87,12/10/2013 12:48,100,12/10/2013 0:00,29.08,12/10/2013 19:22,2.277,12/10/2013 11:35,20.92,12/10/2013 6:44,69.48,12/10/2013 13:25,21.12,12/10/2013 19:22,0,12/10/2013 0:00,45.36,391.941,271.3,11719.64,765.5,2.048,NAN,83.7,490.4,0.201,164.4,35.35,0.375,0.013,0.014,0.022,0.076,0.037,0.016,0.011,0.013,12.39
12/11/2013 0:00,6,9.2,9.19,23.79,97.5,29.24,23.58,25.74,12/11/2013 12:41,100,12/11/2013 0:00,26.38,12/11/2013 6:28,4.354,12/11/2013 22:29,22.32,12/11/2013 6:37,89.2,12/11/2013 15:46,22.53,12/11/2013 6:28,0,12/11/2013 0:00,17.49,151.1429,107.1,4627.448,765.1,0.771,NAN,29.61,178.4,0.41,169.3,48.08,0.413,0.012,0.022,0.052,0.148,0.097,0.048,0.017,0.013,12.39
12/12/2013 0:00,7,0,9.15,23.7,100,25.76,21.12,28.86,12/12/2013 12:35,100,12/12/2013 2:10,28.8,12/12/2013 14:39,3.715,12/12/2013 11:37,20.88,12/12/2013 6:59,65.05,12/12/2013 13:56,23.48,12/12/2013 8:20,0,12/12/2013 0:00,42.1,363.7094,252.1,10888.59,764.1,2.257,1.754,82.5,480.2,0.317,169.6,42.66,0.374,0.013,0.014,0.033,0.122,0.073,0.028,0.017,0.018,12.38
12/13/2013 0:00,8,0,9.1,22.52,100,25.12,19.84,28.51,12/13/2013 13:28,100,12/13/2013 0:00,27.49,12/13/2013 14:47,2.357,12/13/2013 13:03,19.73,12/13/2013 23:16,67.95,12/13/2013 10:32,23.23,12/13/2013 8:14,0,12/13/2013 0:00,33.86,292.5594,203.9,8809.846,765.1,2.481,1.276,66.36,382.7,0.351,171,38.21,0.397,0.008,0.013,0.033,0.148,0.092,0.036,0.014,0.008,12.38
12/14/2013 0:00,9,5.5,9.22,23.01,100,24.52,21.64,27.64,12/14/2013 12:26,100,12/14/2013 0:00,26.47,12/14/2013 15:55,3.076,12/14/2013 9:05,19.94,12/14/2013 0:00,78.77,12/14/2013 12:25,22.96,12/14/2013 6:56,0,12/14/2013 0:00,24.03,207.6122,145.1,6267.064,765,2.009,1.179,41.71,247.9,0.358,166.9,54.05,0.403,0.022,0.017,0.041,0.124,0.06,0.034,0.025,0.034,12.38
12/15/2013 0:00,10,9.6,9.47,23.08,99.3,24.28,23.18,25.29,12/15/2013 12:43,100,12/15/2013 0:00,25.64,12/15/2013 16:17,4.275,12/15/2013 12:24,21.06,12/15/2013 6:45,92.4,12/15/2013 2:52,22.9,12/15/2013 8:02,0,12/15/2013 0:00,18.74,161.9413,116.4,5026.789,764.8,1.079,0.896,29.4,178.8,0.366,154.2,54.71,0.356,0.023,0.032,0.053,0.135,0.054,0.027,0.022,0.021,12.4
12/16/2013 0:00,11,28.4,9.77,23.38,100,24.83,22.17,26.24,12/16/2013 12:31,100,12/16/2013 0:21,26.37,12/16/2013 16:08,2.677,12/16/2013 9:40,21.66,12/16/2013 4:41,88.3,12/16/2013 12:36,23.49,12/16/2013 7:54,0,12/16/2013 0:01,22.24,192.1856,135.3,5846.657,764.6,1.159,0.944,38.68,229,0.355,153.5,51.66,0.366,0.025,0.028,0.046,0.143,0.052,0.027,0.014,0.02,12.38
12/17/2013 0:00,12,3.5,9.77,23.04,100,24.99,21.95,27.32,12/17/2013 12:13,100,12/17/2013 0:00,26.89,12/17/2013 15:26,3.635,12/17/2013 13:30,21.19,12/17/2013 2:39,80.4,12/17/2013 12:28,23.42,12/17/2013 7:17,0,12/17/2013 0:01,28.3,244.4858,169.4,7319.81,764,1.668,1.139,53.7,314.8,0.317,171.3,49.38,0.368,0.016,0.019,0.028,0.114,0.068,0.036,0.015,0.021,12.4
12/18/2013 0:00,13,4.8,9.74,22.85,100,24.74,21.21,27.01,12/18/2013 11:52,100,12/18/2013 0:00,26.39,12/18/2013 15:49,2.038,12/18/2013 11:19,20.97,12/18/2013 5:05,80.6,12/18/2013 11:48,23.38,12/18/2013 7:33,0,12/18/2013 0:00,25.7,222.0105,154.2,6661.398,764.6,1.574,0.917,50.19,291.8,0.362,176.5,46.79,0.342,0.015,0.018,0.03,0.137,0.096,0.038,0.014,0.015,12.38
12/19/2013 0:00,14,4.9,9.76,23.4,92.9,24.79,23.38,27.38,12/19/2013 12:59,100,12/19/2013 0:00,26.88,12/19/2013 14:42,3.076,12/19/2013 23:56,21.09,12/19/2013 0:39,79.22,12/19/2013 14:37,23.16,12/19/2013 8:05,0,12/19/2013 0:00,29.71,256.6966,179.4,7751.12,764.6,1.687,1.193,56.25,328.6,0.486,167.5,48.28,0.413,0.014,0.022,0.053,0.191,0.112,0.057,0.017,0.019,12.39
12/20/2013 0:00,15,7.5,9.77,23.14,100,24.95,20.24,27.61,12/20/2013 13:35,100,12/20/2013 3:30,27.07,12/20/2013 14:17,3.635,12/20/2013 16:53,20.1,12/20/2013 23:58,72.68,12/20/2013 13:34,23.65,12/20/2013 7:05,0,12/20/2013 0:11,28.5,246.2007,174.3,7529.066,764.8,1.51,1.065,53.55,322,0.581,167.9,60.15,0.375,0.029,0.036,0.065,0.201,0.133,0.059,0.026,0.032,12.39
12/21/2013 0:00,16,4.5,9.78,22.8,100,24.6,22.22,26.72,12/21/2013 14:12,100,12/21/2013 0:00,27.19,12/21/2013 14:43,3.396,12/21/2013 15:09,20.02,12/21/2013 0:46,76.94,12/21/2013 14:36,22.71,12/21/2013 7:07,0,12/21/2013 0:01,34.33,296.5938,207.6,8967.428,765.2,1.801,1.448,66.26,390.5,0.519,168,63.41,0.395,0.033,0.034,0.056,0.162,0.111,0.055,0.028,0.04,12.38
