TOA5,60144,CR1000,60144,CR1000.Std.26,CPU:Ev-pan2013.CR1,35275,T2Diario,,,,,,,,,,,,,,,,,,,,,,,,,,Wind Vector,,,,,,,,,,,,,
TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV,Comentario
TS,RN,mm,inches,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts,
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp,
12/31/2013 0:00,26,0.1,9.48,23.3,100,24.44,21.31,28.37,12/31/2013 13:05,100,12/31/2013 0:00,25.99,12/31/2013 15:22,3.555,12/31/2013 12:07,20.84,12/31/2013 4:34,69.13,12/31/2013 13:04,23.2,12/31/2013 7:58,0,12/31/2013 0:00,29.6,255.7209,178.1,7691.924,765.6,1.973,0.861,60.59,352.6,0.488,167.8,60.3,0.453,0.025,0.034,0.052,0.153,0.103,0.051,0.033,0.037,12.38,
1/1/2014 0:00,27,4.3,9.56,23.26,97.9,24.06,22.45,26.64,1/1/2014 12:45,100,1/1/2014 0:00,25.5,1/1/2014 15:04,4.434,1/1/2014 9:43,21.16,1/1/2014 6:46,80.3,1/1/2014 16:13,22.95,1/1/2014 8:00,0,1/1/2014 0:02,21.11,182.3507,130.3,5630.265,764.6,1.382,0.808,42.65,250.3,0.593,171.3,64.15,0.425,0.027,0.036,0.064,0.186,0.135,0.073,0.035,0.037,12.39,
1/2/2014 0:00,28,8,9.67,23.31,100,24.69,21.31,28.75,1/2/2014 13:10,100,1/2/2014 1:04,27.24,1/2/2014 14:50,2.996,1/2/2014 10:03,21.24,1/2/2014 5:36,73.76,1/2/2014 13:04,22.75,1/2/2014 8:24,0,1/2/2014 0:12,35.41,305.9342,211.4,9130.775,763.5,1.919,1.55,72.8,419.7,0.398,161.6,54.53,0.445,0.027,0.035,0.046,0.127,0.065,0.036,0.028,0.032,12.39,
1/3/2014 0:00,29,6.8,9.78,23.12,100,24.83,22.08,26.92,1/3/2014 11:22,100,1/3/2014 0:00,26.67,1/3/2014 14:36,2.117,1/3/2014 9:56,20.98,1/3/2014 5:37,75.6,1/3/2014 11:24,23.19,1/3/2014 8:38,0,1/3/2014 0:00,28.18,243.4593,170.8,7380.453,764.7,1.55,1.126,52.88,312,0.25,179.9,43.53,0.339,0.013,0.009,0.02,0.083,0.065,0.023,0.012,0.023,12.39,
1/4/2014 0:00,30,9.6,9.79,23.26,100,24.93,22.81,27.57,1/4/2014 13:58,100,1/4/2014 0:00,26.95,1/4/2014 14:33,3.795,1/4/2014 11:50,21.28,1/4/2014 7:05,76.08,1/4/2014 14:02,23.29,1/4/2014 8:22,0,1/4/2014 0:00,30.97,267.6132,187.3,8090.431,764.2,1.572,1.124,58.43,340.9,0.367,158.6,50.87,0.406,0.022,0.024,0.044,0.135,0.06,0.033,0.023,0.026,12.39,
1/5/2014 0:00,31,1.4,9.74,23.66,100,25.7,21.72,28.58,1/5/2014 13:37,100,1/5/2014 0:00,29.45,1/5/2014 14:53,4.354,1/5/2014 9:49,21.24,1/5/2014 7:43,61.54,1/5/2014 13:41,23.35,1/5/2014 8:28,0,1/5/2014 0:00,51.46,444.6077,303.3,13102.74,765,1.975,1.855,89.5,520.1,0.482,169.6,53.63,0.44,0.021,0.029,0.055,0.172,0.105,0.049,0.03,0.023,12.38,
1/6/2014 0:00,32,5.7,9.72,23.64,100,25.56,23.01,28.32,1/6/2014 11:15,100,1/6/2014 0:00,28.36,1/6/2014 14:56,3.316,1/6/2014 15:55,20.15,1/6/2014 4:57,75.67,1/6/2014 11:10,23.35,1/6/2014 7:52,0,1/6/2014 0:00,38.06,328.8769,219.2,9470.956,764,2.192,1.609,73.18,416.2,0.501,146.4,57.94,0.41,0.035,0.049,0.082,0.184,0.061,0.036,0.027,0.027,12.4,
1/7/2014 0:00,33,8.6,9.78,23.43,100,25.21,21.95,27.2,1/7/2014 13:32,100,1/7/2014 0:00,26.95,1/7/2014 14:45,3.156,1/7/2014 16:47,21.79,1/7/2014 20:30,74.64,1/7/2014 13:44,24.12,1/7/2014 8:16,0,1/7/2014 0:01,23.97,207.1262,146.9,6347.298,765.4,1.285,0.836,50.88,294.1,0.401,159.2,52.18,0.399,0.015,0.028,0.052,0.15,0.068,0.038,0.025,0.024,12.39,
