TOA5,60144,CR1000,60144,CR1000.Std.26,,,CPU:Ev-pan2014.CR1,,23526,T2Diario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV,
TS,RN,mm,inches,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts,
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp,Comentarios
12/31/2014 0:00,357,1.1,9.98,23.38,100,25.58,22.36,28.23,12/31/2014 12:37,100,12/31/2014 0:00,28.87,12/31/2014 14:46,1.239,12/31/2014 9:50,20.58,12/31/2014 5:45,74.77,12/31/2014 12:50,23.04,12/31/2014 7:30,0,12/31/2014 0:00,53.5,0.4592086,131.8,11384.51,766.2,2.209,1.856,110.4,333.6,0.018,140.6,8.05,0.102,0,0.001,0.006,0.008,0.002,0.001,0,0,12.31,
1/1/2015 0:00,358,0,9.94,24.07,100,25.77,22.47,29.19,1/1/2015 13:40,100,1/1/2015 0:00,28.85,1/1/2015 14:48,2.996,1/1/2015 12:22,21.41,1/1/2015 7:21,69.5,1/1/2015 13:57,23.62,1/1/2015 7:39,0,1/1/2015 0:00,49.48,0.4246728,164.7,14228.55,767.2,2.063,1.612,99.8,326.2,0.197,156,33.99,0.37,0.014,0.015,0.035,0.066,0.031,0.016,0.019,0.001,12.32,
1/2/2015 0:00,359,0.8,9.91,23.73,98.5,25.33,21.81,28.2,1/2/2015 10:13,100,1/2/2015 0:00,27.7,1/2/2015 14:40,0.6,1/2/2015 2:29,21.24,1/2/2015 4:07,75.29,1/2/2015 14:39,23.34,1/2/2015 7:55,0,1/2/2015 0:00,41.82,0.3589737,101.6,8777.123,767.6,2.285,1.344,77.4,192.2,0.002,144.3,4.375,0.032,0,0,0,0.001,0,0,0,0,12.32,
1/3/2015 0:00,360,0.4,9.9,23.93,91.4,24.43,23.78,27.24,1/3/2015 12:25,100,1/3/2015 0:13,26.67,1/3/2015 15:11,0.36,1/3/2015 13:13,21.08,1/3/2015 0:11,73.83,1/3/2015 12:16,22.58,1/3/2015 7:16,0,1/3/2015 0:00,39.1,0.3355798,140.1,12104.45,768.2,1.569,1.291,77.73,266.1,0,251,0,0.004,0,0,0,0,0,0,0,0,12.32,
1/4/2015 0:00,361,0.5,9.85,24.25,88.9,24.71,23.58,27.97,1/4/2015 12:48,100,1/4/2015 6:11,27.29,1/4/2015 14:51,0.44,1/4/2015 5:30,21.72,1/4/2015 5:59,65.21,1/4/2015 13:24,23,1/4/2015 7:20,0,1/4/2015 0:00,44.39,0.3809932,120.1,10377.68,768,1.481,1.333,85.9,241.3,0,124.4,2.796,0.011,0,0,0,0,0,0,0,0,12.33,
1/5/2015 0:00,362,8.4,9.97,23.07,99.4,24.18,22.14,26.61,1/5/2015 9:28,100,1/5/2015 6:30,26.1,1/5/2015 15:43,0,1/5/2015 0:00,20.56,1/5/2015 6:41,76.99,1/5/2015 10:30,22.36,1/5/2015 7:21,0,1/5/2015 0:00,38.11,0.327144,143.3,12375.84,767.8,1.48,1.157,62.33,228.8,0,0,0,0,0,0,0,0,0,0,0,0,12.32,
1/6/2015 0:00,363,4.9,10.03,23.2,100,24.48,20.4,27.62,1/6/2015 13:53,100,1/6/2015 0:14,27.68,1/6/2015 14:49,0,1/6/2015 0:00,20.32,1/6/2015 23:56,68.11,1/6/2015 13:54,22.37,1/6/2015 7:16,0,1/6/2015 0:00,49.22,0.4224505,77.43,6688.518,766.3,2.078,1.645,85,164.7,0,0,0,0,0,0,0,0,0,0,0,0,12.31,
1/7/2015 0:00,364,1.6,10.01,22.56,100,24.67,21.04,28.62,1/7/2015 14:29,100,1/7/2015 0:00,29.04,1/7/2015 14:49,0.44,1/7/2015 8:24,19.56,1/7/2015 4:01,60.62,1/7/2015 14:31,21.54,1/7/2015 7:34,0,1/7/2015 0:00,67.74,0.5814076,142.2,12281.76,764.5,2.736,2.436,126.6,338.7,0,167.4,0.745,0.01,0,0,0,0,0,0,0,0,12.31,
1/8/2015 0:00,365,0.1,9.96,22.44,100,24.55,20.77,27.93,1/8/2015 12:16,100,1/8/2015 0:00,27.51,1/8/2015 14:53,0.52,1/8/2015 2:38,19.11,1/8/2015 7:10,68.96,1/8/2015 14:56,22.01,1/8/2015 8:28,0,1/8/2015 0:00,51.63,0.44312,153,13213.39,765.6,2.49,1.642,103,334.6,0.003,135.8,3.199,0.033,0,0,0.001,0.001,0,0,0,0,12.32,
1/9/2015 0:00,366,8.5,10.07,22.07,100,23.78,21.62,25.54,1/9/2015 10:50,100,1/9/2015 0:00,25.66,1/9/2015 16:49,2.996,1/9/2015 12:23,19.36,1/9/2015 7:04,90,1/9/2015 12:49,21.77,1/9/2015 7:28,0,1/9/2015 0:00,37.04,0.3179605,131.7,11375.51,765.9,1.686,1.246,66.71,228.7,0.079,176.2,17.02,0.238,0.002,0.001,0.007,0.03,0.026,0.005,0.006,0,12.32,
