TOA5,60144,CR1000,60144,CR1000.Std.26,CPU:Ev-pan2014.CR1,23526,T2Diario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg Water ,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV,
TS,RN,mm,inches,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts,
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp,COMENTARIO
1/4/2016 0:00,726,0.3,1.723,22.66,100,NAN,20.45,28.08,1/4/2016 13:52,100,1/4/2016 0:00,NAN,1/5/2016 0:00,3.476,1/4/2016 13:57,20.32,1/4/2016 23:57,73.53,1/4/2016 13:54,NAN,1/5/2016 0:00,0,1/4/2016 0:00,51.45,0.4415781,163.8,14151.31,763.8,2.152,NAN,106.1,331.5,0.377,160.7,50.63,0.393,0.026,0.024,0.053,0.13,0.073,0.022,0.024,0.024,12.13,
1/5/2016 0:00,727,0.4,1.721,21.5,100,NAN,20.02,27.54,1/5/2016 11:30,100,1/5/2016 0:00,NAN,1/6/2016 0:00,2.197,1/5/2016 12:41,19.14,1/5/2016 6:25,81.2,1/5/2016 11:31,NAN,1/6/2016 0:00,0,1/5/2016 0:01,41.66,0.3575934,152.2,13146.19,764.3,2.172,NAN,82.9,291.3,0.239,144,37.39,0.295,0.022,0.019,0.048,0.099,0.031,0.006,0.007,0.006,12.14,
1/6/2016 0:00,728,0.3,1.726,22.57,100,NAN,21.75,27.64,1/6/2016 12:20,100,1/6/2016 0:00,NAN,1/7/2016 0:00,2.757,1/6/2016 18:29,19.95,1/6/2016 0:00,81.9,1/6/2016 11:33,NAN,1/7/2016 0:00,0,1/6/2016 0:00,42.89,0.3680982,161.4,13938.89,764.2,2.025,NAN,79.01,286.2,0.226,170.6,43.94,0.308,0.014,0.014,0.024,0.077,0.047,0.017,0.02,0.013,12.13,
1/7/2016 0:00,729,0.3,1.724,23.76,100,NAN,21.7,28.56,1/7/2016 14:03,100,1/7/2016 0:00,NAN,1/8/2016 0:00,3.156,1/7/2016 13:35,21.61,1/7/2016 23:29,73.15,1/7/2016 13:35,NAN,1/8/2016 0:00,0,1/7/2016 0:01,57.84,0.4964352,187.1,16163.77,763.5,2.046,NAN,108.2,348.1,0.432,167.6,56.11,0.449,0.044,0.033,0.065,0.121,0.076,0.032,0.042,0.018,12.15,
1/8/2016 0:00,730,0.2,1.722,23.81,100,NAN,20.69,30.53,1/8/2016 13:03,100,1/8/2016 0:00,NAN,1/9/2016 0:00,3.156,1/8/2016 14:47,20.56,1/8/2016 23:39,65.93,1/8/2016 13:09,NAN,1/9/2016 0:00,0,1/8/2016 0:00,90.7,0.778769,245.8,21232.95,762.5,3.104,NAN,150.7,461.2,0.332,181.1,53.06,0.427,0.038,0.026,0.033,0.082,0.074,0.024,0.032,0.023,12.12,
1/9/2016 0:00,731,0.6,1.723,22.66,100,NAN,20.85,28.7,1/9/2016 10:15,100,1/9/2016 0:00,NAN,1/10/2016 0:00,2.597,1/9/2016 12:21,19.34,1/9/2016 6:31,76.28,1/9/2016 9:51,NAN,1/10/2016 0:00,0,1/9/2016 0:00,46.15,0.3961015,154.7,13360.9,763,2.896,NAN,92.5,314.1,0.269,160,31.74,0.334,0.005,0.004,0.034,0.138,0.051,0.017,0.013,0.006,12.13,
1/10/2016 0:00,732,0.5,1.723,23,100,NAN,20.66,29.12,1/10/2016 11:31,100,1/10/2016 0:00,NAN,1/11/2016 0:00,2.277,1/10/2016 12:15,20.24,1/10/2016 5:34,69.95,1/10/2016 11:33,NAN,1/11/2016 0:00,0,1/10/2016 0:00,50.69,0.4350553,179.1,15474.72,764,2.756,NAN,103.5,352.1,0.243,166.7,36.76,0.361,0.01,0.006,0.026,0.101,0.052,0.016,0.02,0.012,12.13,
1/11/2016 0:00,733,0.5,1.723,22.6,100,NAN,20.21,26.59,1/11/2016 12:39,100,1/11/2016 0:00,NAN,1/12/2016 0:00,3.316,1/11/2016 10:44,19.93,1/11/2016 2:26,76.75,1/11/2016 14:25,NAN,1/12/2016 0:00,0,1/11/2016 0:00,38.2,0.3279096,135.4,11693.49,764.8,2.208,NAN,66.76,229.9,0.287,168.4,35.4,0.462,0.007,0.009,0.033,0.111,0.081,0.022,0.015,0.01,12.13,
