TOA5-2017,60144,CR1000,60144,CR1000.Std.26,CPU:Ev-pan2014.CR1,,30058,T2Diario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-45 ,45-90 ,90-135,135-180 ,180-225 ,225-270,270-315,315-360 ,,,
TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV,,
TS,RN,mm,inches,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts,,
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp,,Comentarios
1/1/2017 0:00,150,7.9,1.712,NAN,87.5,22.21,21.84,NAN,1/1/2017 0:00,87.5,12/31/2016 0:00,30.64,12/31/2016 10:51,2.996,12/31/2016 11:21,NAN,1/1/2017 0:00,87.5,12/31/2016 0:00,18.9,12/31/2016 7:15,0,12/31/2016 0:00,0.075,3.24261,129.6,11192.95,726.5,NAN,2.652,0.148,246.5,0.269,179.3,46.66,0.41,0.019,0.017,0.032,0.065,0.064,0.029,0.029,0.013,12.44,,
1/2/2017 0:00,151,0.4,1.714,NAN,87.5,23.93,22.39,NAN,1/2/2017 0:00,87.5,1/1/2017 0:00,30.61,1/1/2017 11:18,3.236,1/1/2017 11:39,NAN,1/2/2017 0:00,87.5,1/1/2017 0:00,21.77,1/1/2017 7:28,0,1/1/2017 0:03,0.106,4.573345,178.4,15409.43,723.2,NAN,2.34,0.208,342.8,0.404,168.3,56.27,0.454,0.03,0.025,0.051,0.114,0.079,0.039,0.044,0.022,12.48,,
1/3/2017 0:00,152,8,1.703,NAN,87.5,23.73,21.92,NAN,1/3/2017 0:00,87.5,1/2/2017 0:00,28.28,1/2/2017 9:29,4.275,1/2/2017 14:38,NAN,1/3/2017 0:00,87.5,1/2/2017 0:00,21.5,1/2/2017 7:12,0,1/2/2017 0:00,0.079,3.417359,134.5,11614.07,728.7,NAN,2.014,0.144,239.1,0.482,161.7,58.34,0.499,0.037,0.036,0.067,0.124,0.114,0.053,0.035,0.017,12.5,,
1/4/2017 0:00,153,4.4,1.686,NAN,87.5,23.76,20.69,NAN,1/4/2017 0:00,87.5,1/3/2017 0:00,31.23,1/3/2017 11:12,3.156,1/3/2017 9:30,NAN,1/4/2017 0:00,87.5,1/3/2017 0:00,20.54,1/3/2017 6:23,0,1/3/2017 0:00,0.142,6.129986,235.1,20308.07,735.5,NAN,3.145,0.25,410.2,0.345,171.8,47.36,0.406,0.019,0.018,0.046,0.112,0.078,0.031,0.028,0.013,12.55,,
1/5/2017 0:00,154,0,1.726,NAN,87.5,22.77,20.72,NAN,1/5/2017 0:00,87.5,1/4/2017 0:00,29.35,1/4/2017 14:02,2.836,1/4/2017 12:24,NAN,1/5/2017 0:00,87.5,1/4/2017 0:00,19.84,1/4/2017 7:16,0,1/4/2017 0:00,0.117,5.065207,198.1,17110.75,729.5,NAN,2.798,0.218,358.7,0.252,166.3,38,0.341,0.011,0.01,0.043,0.091,0.054,0.022,0.018,0.004,12.23,,
1/6/2017 0:00,155,0,1.71,NAN,87.5,22.61,19.78,NAN,1/6/2017 0:00,87.5,1/5/2017 0:00,29.34,1/5/2017 11:51,2.996,1/5/2017 11:54,NAN,1/6/2017 0:00,87.5,1/5/2017 0:00,18.99,1/5/2017 4:33,0,1/5/2017 0:00,0.093,4.021538,162.6,14049.92,737.4,NAN,3.064,0.195,326.7,0.268,156.4,41.19,0.329,0.01,0.014,0.058,0.092,0.05,0.021,0.015,0.008,12.22,,
1/7/2017 0:00,156,1.1,1.717,NAN,87.5,23.96,21.21,NAN,1/7/2017 0:00,87.5,1/6/2017 0:00,30.16,1/6/2017 14:03,2.836,1/6/2017 13:57,NAN,1/7/2017 0:00,87.5,1/6/2017 0:00,19.89,1/6/2017 1:31,0,1/6/2017 2:16,0.133,5.765373,224.2,19363.93,733.7,NAN,3.216,0.237,393.3,0.354,182.2,59.63,0.413,0.022,0.026,0.048,0.097,0.053,0.035,0.05,0.022,12.23,,
