TOA5-2018,60144,CR1000,60144,CR1000.Std.26,CPU:Ev-pan2018.CR1,,30058,T2Diario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-45 ,45-90 ,90-135,135-180 ,180-225 ,225-270,270-315,315-360 ,
TIMESTAMP,RECORD,Rain_mm_Tot,PanLevel,AirTC_Avg,RH,T107_C_Avg,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV
TS,RN,mm,inches,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts
,,Tot,Smp,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp
1/24/2018 0:00,513,0,1.612,.,.,24.69,22,.,1/24/2018 23:51,87.5,1/24/2018 8:22,30.63,1/24/2018 15:51,2.836,1/24/2018 15:54,.,1/24/2018 23:51,-100,1/24/2018 7:57,21.32,1/24/2018 19:22,0,1/24/2018 7:47,0.188,5.475029,336.6,19635.24,774.9,.,2.43,0.249,435.6,0.518,53.52,68.97,0.517,0.259,0.034,0.061,0.078,0.049,0.025,0.008,0.004,12.44
1/25/2018 0:00,514,0,1.606,.,.,23.65,21.1,.,1/25/2018 23:42,85.6,1/25/2018 1:31,32.72,1/25/2018 15:05,3.635,1/25/2018 8:24,.,1/25/2018 23:42,-100,1/25/2018 0:00,20.28,1/25/2018 23:57,0,1/25/2018 0:00,0.098,4.238377,176.5,15244.16,775.3,.,3.023,0.171,301.8,0.564,147,62.64,0.493,0.029,0.102,0.137,0.135,0.088,0.048,0.014,0.011,12.45
1/26/2018 0:00,515,0,1.597,.,.,22.96,21.64,.,1/26/2018 23:55,84.2,1/26/2018 1:01,32.28,1/26/2018 13:12,3.635,1/26/2018 17:35,.,1/26/2018 23:55,-100,1/26/2018 0:00,19.11,1/26/2018 4:45,0,1/26/2018 0:01,0.102,4.423364,180.4,15583.58,775.9,.,3.011,0.186,322.2,0.707,140.9,66.96,0.473,0.035,0.133,0.19,0.16,0.099,0.053,0.02,0.018,12.47
1/27/2018 0:00,516,0,1.628,.,.,23.57,21.92,.,1/27/2018 22:14,81.8,1/27/2018 0:16,36.82,1/27/2018 13:06,5.153,1/27/2018 14:00,.,1/27/2018 22:14,-100,1/27/2018 0:00,20.49,1/27/2018 7:36,0,1/27/2018 0:08,0.087,3.744033,155.5,13430.52,775.5,.,2.586,0.147,261,0.926,131.2,66.42,0.582,0.039,0.166,0.292,0.217,0.12,0.05,0.022,0.02,12.48
1/28/2018 0:00,517,0,1.63,.,.,23.78,21.95,.,1/28/2018 23:05,76.72,1/28/2018 22:44,36.28,1/28/2018 15:36,4.834,1/28/2018 20:18,.,1/28/2018 23:05,-100,1/28/2018 0:00,20.92,1/28/2018 2:53,0,1/28/2018 0:16,0.09,3.892229,161.4,13945.62,775,.,2.924,0.164,286,1.107,129.6,52.81,0.595,0.021,0.159,0.436,0.303,0.112,0.044,0.021,0.01,12.49
1/29/2018 0:00,518,0,1.706,.,.,22.72,23.01,.,1/29/2018 23:44,75.45,1/29/2018 3:24,28.14,1/29/2018 10:09,4.514,1/29/2018 8:17,.,1/29/2018 23:44,-100,1/29/2018 0:00,21.11,1/29/2018 5:31,0,1/29/2018 1:55,0.055,2.381331,97.1,8385.936,774.3,.,1.517,0.081,142.3,1.074,131.2,52.16,0.507,0.024,0.127,0.43,0.305,0.116,0.044,0.017,0.01,12.48
1/30/2018 0:00,519,0,1.627,.,.,23.18,18.84,.,1/30/2018 17:13,78.27,1/30/2018 21:05,29.81,1/30/2018 13:42,3.476,1/30/2018 0:18,.,1/30/2018 17:13,-100,1/30/2018 0:00,18.91,1/30/2018 23:59,0,1/30/2018 0:00,0.094,4.076735,166.4,14377.41,774.3,.,2.547,0.158,273.9,0.653,148.2,56.03,0.487,0.016,0.076,0.201,0.203,0.089,0.043,0.014,0.01,12.48
