TOA5- 2019,60144,CR1000,60144,CR1000.Std.26,CPU:Saban Wather Station_DC2018.CR1,,,,59476,T2Diario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Rain_mm_Tot,AirTC_Avg,RH,T107_C_Avg,PTemp_C,AirTC_Max,AirTC_TMx,RH_Max,RH_TMx,T107_C_Max,T107_C_TMx,WS_ms_Max,WS_ms_TMx,AirTC_Min,AirTC_TMn,RH_Min,RH_TMn,T107_C_Min,T107_C_TMn,WS_ms_Min,WS_ms_TMn,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV,Comentario
TS,RN,mm,Deg C,%,Deg C,Deg C,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,Deg C,Deg C,%,%,Deg C,Deg C,meters/second,meters/second,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts,
,,Tot,Avg,Smp,Avg,Smp,Max,TMx,Max,TMx,Max,TMx,Max,TMx,Min,TMn,Min,TMn,Min,TMn,Min,TMn,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp,
1/1/2019 0:00,22,0.3,22.67,95.6,22.59,21.42,25.84,1/1/2019 11:37,97.5,1/1/2019 7:24,26.24,1/1/2019 11:06,6.341,1/1/2019 10:42,19.7,1/1/2019 6:51,66.86,1/1/2019 11:57,19.46,1/1/2019 6:43,0,1/1/2019 0:18,0.045,1.953091,25.98,1122.542,774.3,1.599,1.842,0.082,34.71,1.024,128,57.54,1.054,0.074,0.284,0.325,0.236,0.041,0.051,0.009,0.004,12.63,
1/2/2019 0:00,23,1.8,23.27,88.7,23.39,22.06,25.63,1/2/2019 12:31,100,1/2/2019 2:07,25.94,1/2/2019 12:29,6.733,1/2/2019 2:10,20.7,1/2/2019 2:02,65.49,1/2/2019 12:06,20.7,1/2/2019 1:52,0,1/2/2019 0:01,0.038,1.649078,28.5,1231.052,774.3,1.457,1.554,0.056,83.7,1.197,126.2,48.08,0.995,0.035,0.207,0.562,0.292,0.032,0.058,0.009,0.002,12.64,
1/3/2019 0:00,24,0.5,23.19,99.5,23.26,19.47,26.28,1/3/2019 14:03,99.6,1/3/2019 23:34,26.84,1/3/2019 13:07,7.477,1/3/2019 9:59,19.93,1/3/2019 23:59,63.27,1/3/2019 14:19,19.94,1/3/2019 23:57,0,1/3/2019 0:08,0.062,2.689414,23.86,1030.763,774.9,1.676,1.871,0.108,56.96,1.308,135.2,43.81,1.329,0.008,0.137,0.53,0.543,0.051,0.031,0.007,0.001,12.61,
1/4/2019 0:00,25,1,23.11,94.6,23.16,22.11,26.61,1/4/2019 12:33,100,1/4/2019 0:43,27.13,1/4/2019 12:22,8.46,1/4/2019 11:47,19.78,1/4/2019 1:24,70.61,1/4/2019 11:43,19.57,1/4/2019 4:38,0,1/4/2019 0:02,0.061,2.656587,13.32,575.3845,774.4,2.236,2.448,0.107,33.01,1.447,141.6,29.14,1.443,0,0.036,0.467,0.868,0.064,0.009,0.003,0,12.63,
1/5/2019 0:00,26,0.3,23.89,89.3,23.88,21.92,26.4,1/5/2019 13:11,95.8,1/5/2019 5:04,27.07,1/5/2019 13:02,8.03,1/5/2019 9:45,21.67,1/5/2019 5:03,60.66,1/5/2019 14:20,21.14,1/5/2019 7:19,0,1/5/2019 1:01,0.064,2.749724,8.49,366.6768,774,1.288,1.579,0.105,19.57,1.667,134.4,26.39,1.37,0.001,0.075,0.663,0.877,0.048,0.002,0,0.001,12.62,
1/6/2019 0:00,27,5.1,22.7,100,22.79,20.42,25.97,1/6/2019 12:05,100,1/6/2019 22:25,26.39,1/6/2019 11:14,7.83,1/6/2019 12:13,20.65,1/6/2019 23:43,75.23,1/6/2019 15:13,20.63,1/6/2019 23:43,0,1/6/2019 0:01,0.054,2.340298,31.59,1364.536,773.9,1.603,1.723,0.097,87.3,1.12,153.9,45.89,1.324,0.001,0.039,0.387,0.587,0.035,0.031,0.039,0,12.62,
1/7/2019 0:00,28,0.3,22.78,98.8,22.73,20.08,26.14,1/7/2019 11:52,100,1/7/2019 0:00,26.7,1/7/2019 11:51,7.272,1/7/2019 13:58,19.87,1/7/2019 4:27,72.09,1/7/2019 11:52,19.71,1/7/2019 4:56,0,1/7/2019 0:00,0.045,1.930305,9.84,425.2408,774.4,1.881,2.088,0.086,24.4,1.074,136.7,51.15,1.228,0.018,0.11,0.415,0.43,0.025,0.046,0.027,0.002,12.62,
1/8/2019 0:00,29,0,22.06,96.3,22.06,19.86,26.1,1/8/2019 14:15,100,1/8/2019 0:56,26.78,1/8/2019 14:15,6.331,1/8/2019 12:25,19.03,1/8/2019 6:40,66.97,1/8/2019 12:01,18.69,1/8/2019 6:39,0,1/8/2019 0:00,0.053,2.29662,16.24,701.3773,773.9,2.235,2.459,0.093,46.56,0.974,191.1,82.3,0.953,0.047,0.221,0.325,0.091,0.026,0.183,0.08,0.001,12.62,
