TOA5,60144,CR1000,60144,CR1000.Std.26,CPU:Saban Wather Station_2019.CR1,,,4753,T1Hora,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Rain_mm_Tot,AirTC_Avg,RH,T107_C_Avg_Amb,PTemp_C,PTemp_C_Avg,SlrkW_2_Avg,SlrMJ_2_Tot,PAR_Den_Avg,PAR_Tot_Tot,BP_mmHg,AirTC_Std,T107_C_Std,SlrkW_2_Std,PAR_Den_Std,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,WS_ms_Std,WindDir_Hst(1),WindDir_Hst(2),WindDir_Hst(3),WindDir_Hst(4),WindDir_Hst(5),WindDir_Hst(6),WindDir_Hst(7),WindDir_Hst(8),BattV
TS,RN,mm,Deg C,%,Deg C,Deg C,Deg C,kW/m^2,MJ/m^2,umol/s/m^2,mmol/m^2,mmHg,Deg C,Deg C,kW/m^2,umol/s/m^2,meters/second,Deg,Deg,meters/second,degrees,degrees,degrees,degrees,degrees,degrees,degrees,degrees,Volts
,,Tot,Avg,Smp,Avg,Smp,Avg,Avg,Tot,Avg,Tot,Smp,Std,Std,Std,Std,WVc,WVc,WVc,Std,"Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02","Hst,8,NaN,0.0000e+00,3.6000e+02",Smp
1/1/2019 0:00,2067,0,21.62,92.1,21.62,21.21,21.24,0,1.32E-05,0,0,774.8,0.024,0.022,0,0,0.837,184.5,22.87,0.415,0,0,0,0.511,0.288,0.037,0,0,12.62
1/1/2019 0:15,2068,0,21.94,93,21.87,21.23,21.21,0,8.10E-06,0,0,774.4,0.162,0.122,0,0,1.346,131.8,56.37,0.579,0.094,0.369,0.033,0.738,0.113,0,0,0,12.62
1/1/2019 0:30,2069,0,21.83,94.7,21.89,21.26,21.25,0,5.57E-06,0,0,774.8,0.045,0.034,0,0,0.298,49.15,12.84,0.457,0.139,0.16,0,0,0,0,0,0,12.62
1/1/2019 0:45,2070,0,21.65,95.5,21.66,21.26,21.26,0,2.53E-06,0,0,774.7,0.068,0.067,0,0,0.632,260.4,51.33,0.513,0.008,0,0.082,0,0.017,0.364,0.155,0.006,12.62
1/1/2019 1:00,2071,0,21.6,94.8,21.56,21.26,21.26,0,3.54E-06,0,0,774.2,0.034,0.033,0,0,0.313,256,34.6,0.305,0,0,0.007,0,0.035,0.119,0.15,0.002,12.61
1/1/2019 1:15,2072,0,21.68,91.6,21.51,21.21,21.25,0,7.59E-06,0,0,774.5,0.076,0.05,0,0,0.377,179.9,39.4,0.411,0,0.042,0.074,0.14,0.103,0.018,0,0,12.61
1/1/2019 1:30,2073,0,22.26,88.3,21.94,21.15,21.17,0,6.58E-06,0,0,774.3,0.191,0.165,0,0,0.77,147.9,25.08,0.583,0,0.049,0.265,0.423,0.034,0,0,0,12.61
1/1/2019 1:45,2074,0,22.27,85.8,22.09,21.21,21.16,0,1.42E-05,0,0,773.8,0.203,0.362,0,0,1.035,127.1,28.45,0.726,0.023,0.118,0.457,0.409,0.028,0,0,0,12.6
1/1/2019 2:00,2075,0,22.55,82.5,22.6,21.45,21.33,0,2.53E-06,0,0,774.2,0.062,0.058,0,0,0.628,139.5,28.15,0.471,0,0.008,0.166,0.432,0.015,0.007,0,0,12.6
1/1/2019 2:15,2076,0,22.59,86.2,22.33,21.64,21.56,0,6.07E-06,0,0,773.6,0.114,0.217,0,0,0.562,158.7,22.23,0.435,0,0.001,0.058,0.438,0.065,0,0,0,12.6
1/1/2019 2:30,2077,0,22.36,89.2,22.13,21.72,21.7,0,0,0,0,773.5,0.109,0.221,0,0,0.645,116,37.74,0.731,0.007,0.126,0.398,0.086,0.028,0,0,0,12.59
1/1/2019 2:45,2078,0,22.71,85.9,22.69,21.86,21.78,0,0,0,0,773.8,0.135,0.18,0,0,1.041,120.9,32.21,0.653,0,0.16,0.452,0.391,0.038,0,0,0,12.59
1/1/2019 3:00,2079,0,22.86,87.1,22.81,22,21.94,0,0,0,0,773.2,0.069,0.111,0,0,0.843,117.4,35.34,0.562,0.02,0.108,0.337,0.378,0,0,0,0,12.59
1/1/2019 3:15,2080,0,22.69,87,22.72,21.92,21.96,0,0,0,0,773.6,0.064,0.106,0,0,0.632,148,32.19,0.538,0.007,0,0.149,0.423,0.038,0.015,0,0,12.59
1/1/2019 3:30,2081,0,22.41,88.9,22.27,21.72,21.82,0,1.01E-06,0,0,773.4,0.119,0.207,0,0,0.525,152.6,27.89,0.409,0,0,0.121,0.364,0.001,0.04,0,0,12.57
1/1/2019 3:45,2082,0,21.79,91.6,21.43,21.42,21.57,0,5.57E-06,0,0,773.2,0.319,0.299,0,0,0.502,159,21.27,0.44,0,0,0.063,0.37,0.07,0,0,0,12.57
1/1/2019 4:00,2083,0,21.78,90.3,21.2,21.21,21.29,0,4.05E-06,0,0,773.6,0.085,0.128,0,0,0.508,166.4,20.05,0.455,0,0,0.057,0.358,0.093,0,0,0,12.56
1/1/2019 4:15,2084,0,21.38,93.2,20.75,20.99,21.09,0,3.54E-06,0,0,773.3,0.171,0.097,0,0,0.175,184.1,24.51,0.243,0,0,0.013,0.074,0.051,0.037,0,0,12.56
1/1/2019 4:30,2085,0,20.85,95.4,20.55,20.72,20.86,0,1.67E-05,0,0,773.4,0.119,0.047,0,0,0.264,224,15.22,0.32,0,0,0,0,0.184,0.08,0,0,12.55
1/1/2019 4:45,2086,0,20.54,96.2,20.32,20.45,20.59,0,3.54E-05,0,0,773.8,0.083,0.09,0,0,0.136,236.1,36.58,0.256,0,0,0.016,0.051,0.007,0.012,0.049,0,12.54
1/1/2019 5:00,2087,0,20.5,95.6,20.15,20.24,20.33,0,4.40E-05,0,0,773.6,0.059,0.061,0,0,0.156,191.7,22.97,0.228,0,0,0.021,0.019,0.089,0.027,0.002,0,12.54
1/1/2019 5:15,2088,0,20.44,95,20.06,20.05,20.13,0,4.45E-05,0,0,773.3,0.094,0.08,0,0,0.334,201.6,30.64,0.397,0,0.019,0.001,0.043,0.164,0.108,0,0,12.53
1/1/2019 5:30,2089,0,20.47,95.5,20.01,19.92,19.99,0,4.45E-05,0,0,773.6,0.041,0.066,0,0,0.274,188.7,25.66,0.332,0,0.002,0.003,0.067,0.155,0.043,0.004,0,12.52
1/1/2019 5:45,2090,0,21.19,89.5,20.6,19.92,19.9,0,4.55E-05,0,0,773.9,0.414,0.395,0,0,0.634,141.2,36.57,0.876,0,0.05,0.353,0.15,0.045,0.035,0,0,12.52
1/1/2019 6:00,2091,0,21.47,90.8,20.61,19.94,19.94,0,4.50E-05,0,0,773.7,0.166,0.139,0,0,0.59,175.5,31.56,0.546,0,0.019,0.016,0.409,0.117,0.029,0,0,12.51
1/1/2019 6:15,2092,0,20.71,93.7,20.06,19.84,19.89,0,4.50E-05,0,0,773.5,0.131,0.094,0,0,0.4,177.6,42.76,0.508,0,0.013,0.034,0.127,0.118,0.109,0,0,12.51
1/1/2019 6:30,2093,0,20.44,94.3,19.92,19.7,19.78,0,4.55E-05,0,0,773.9,0.12,0.118,0,0,0.279,211.4,40.42,0.327,0,0.037,0.023,0.02,0.084,0.114,0,0,12.5
1/1/2019 6:45,2094,0,20.11,95.9,19.64,19.55,19.63,0,0.000106258,0,0,774.3,0.127,0.123,0,0,0.387,210.5,40.06,0.438,0,0,0.059,0,0.092,0.236,0,0,12.5
1/1/2019 7:00,2095,0,19.75,97.1,19.51,19.36,19.44,0.002,0.000986251,3.186,1.433765,774.3,0.036,0.035,0.002,3.245,0.271,230.2,44.8,0.353,0,0.041,0.015,0.031,0.023,0.132,0.03,0,12.81
1/1/2019 7:15,2096,0,19.87,96.8,19.62,19.34,19.36,0.008,0.003806,18.79,8.454756,774.2,0.082,0.09,0.001,4.461,0.325,240.8,43.16,0.428,0.017,0,0,0.035,0.067,0.191,0.016,0,13.3
1/1/2019 7:30,2097,0,19.79,97.2,19.61,19.36,19.34,0.019,0.008754957,48.79,21.95542,774,0.071,0.075,0.006,11.74,0.173,232.7,17.22,0.275,0,0,0,0,0.062,0.094,0.017,0,13.3
1/1/2019 7:45,2098,0,20.57,94.4,19.94,19.86,19.58,0.036,0.01607809,85.9,38.65363,774.4,0.317,0.11,0.012,20.89,0.069,169,25.41,0.147,0,0,0.022,0.023,0.016,0.008,0,0,13.29
1/1/2019 8:00,2099,0,21.67,89.3,20.77,20.29,20.04,0.032,0.01446609,79.47,35.75961,774.7,0.456,0.248,0.011,23.74,0.547,157.1,18.11,0.561,0,0,0.033,0.438,0.076,0,0,0,13.29
1/1/2019 8:15,2100,0,22.63,83,21.98,20.99,20.63,0.03,0.01367615,81.1,36.4772,774.6,0.383,0.586,0.01,20.59,0.983,129.3,23.48,0.594,0,0.048,0.479,0.457,0,0,0,0,13.28
1/1/2019 8:30,2101,0,23.21,83.9,23.17,21.48,21.29,0.051,0.02275029,97,43.65179,774.4,0.071,0.125,0.031,42.11,1.091,114.9,21.24,0.813,0,0.073,0.853,0.154,0.011,0,0,0,13.27
1/1/2019 8:45,2102,0,23.61,85,23.76,21.92,21.69,0.053,0.0236955,102.2,45.97639,775,0.081,0.119,0.025,20.5,1.101,98.9,32.86,0.638,0.053,0.325,0.591,0.132,0,0,0,0,13.26
1/1/2019 9:00,2103,0.1,23.51,86.5,23.66,22.22,22.14,0.031,0.01394412,62.03,27.91382,774.7,0.206,0.209,0.015,14.91,1.383,92.3,41.09,0.951,0.114,0.528,0.533,0.183,0.006,0.019,0,0,13.26
